filename,act_type,sent_count,age_months
susmt3.cha,long,184,72
susmt3.cha,meal,184,72
susmt3.cha,TD,184,72
sustp3.cha,long,195,72
sustp3.cha,toyplay,195,72
sustp3.cha,TD,195,72
jentp3.cha,long,296,72
jentp3.cha,toyplay,296,72
jentp3.cha,TD,296,72
nedtp3.cha,long,176,73
nedtp3.cha,toyplay,176,73
nedtp3.cha,TD,176,73
jenbr3.cha,long,310,72
jenbr3.cha,book,310,72
jenbr3.cha,TD,310,72
susbr3.cha,long,303,72
susbr3.cha,book,303,72
susbr3.cha,TD,303,72
nedbr3.cha,long,168,73
nedbr3.cha,book,168,73
nedbr3.cha,TD,168,73
jenet3.cha,long,223,72
jenet3.cha,toyplay,223,72
jenet3.cha,TD,223,72
suset3.cha,long,135,72
suset3.cha,toyplay,135,72
suset3.cha,TD,135,72
nedet3.cha,long,176,73
nedet3.cha,toyplay,176,73
nedet3.cha,TD,176,73
suser3.cha,long,28,72
suser3.cha,narrative,28,72
suser3.cha,TD,28,72
jener3.cha,long,44,72
jener3.cha,narrative,44,72
jener3.cha,TD,44,72
neder3.cha,long,49,73
neder3.cha,narrative,49,73
neder3.cha,TD,49,73
susre3.cha,long,62,72
susre3.cha,reading,62,72
susre3.cha,TD,62,72
jenre3.cha,long,68,72
jenre3.cha,reading,68,72
jenre3.cha,TD,68,72
catbr2.cha,long,277,73
catbr2.cha,book,277,73
catbr2.cha,TD,277,73
jesmt5.cha,long,336,83
jesmt5.cha,meal,336,83
jesmt5.cha,TD,336,83
donmt5.cha,long,443,76
donmt5.cha,meal,443,76
donmt5.cha,TD,443,76
kurmt5.cha,long,505,76
kurmt5.cha,meal,505,76
kurmt5.cha,TD,505,76
bramt5.cha,long,639,83
bramt5.cha,meal,639,83
bramt5.cha,TD,639,83
emibr5.cha,long,78,73
emibr5.cha,book,78,73
emibr5.cha,TD,78,73
jebbr5.cha,long,118,73
jebbr5.cha,book,118,73
jebbr5.cha,TD,118,73
brabr5.cha,long,60,83
brabr5.cha,book,60,83
brabr5.cha,TD,60,83
melbr5.cha,long,66,78
melbr5.cha,book,66,78
melbr5.cha,TD,66,78
jesbr5.cha,long,173,83
jesbr5.cha,book,173,83
jesbr5.cha,TD,173,83
060922a.cha,long,696,81
060922a.cha,toyplay,696,81
060922a.cha,TD,696,81
060922b.cha,long,704,81
060922b.cha,toyplay,704,81
060922b.cha,TD,704,81
061017a.cha,long,626,82
061017a.cha,toyplay,626,82
061017a.cha,TD,626,82
061017c.cha,long,644,82
061017c.cha,toyplay,644,82
061017c.cha,TD,644,82
060922d.cha,long,546,81
060922d.cha,toyplay,546,81
060922d.cha,TD,546,81
060406b2.cha,long,612,76
060406b2.cha,toyplay,612,76
060406b2.cha,TD,612,76
060027b.cha,long,479,72
060027b.cha,toyplay,479,72
060027b.cha,TD,479,72
060328.cha,long,814,75
060328.cha,toyplay,814,75
060328.cha,TD,814,75
061119c.cha,long,358,83
061119c.cha,toyplay,358,83
061119c.cha,TD,358,83
060530c.cha,long,632,77
060530c.cha,toyplay,632,77
060530c.cha,TD,632,77
060906c.cha,long,731,81
060906c.cha,toyplay,731,81
060906c.cha,TD,731,81
060211a1.cha,long,489,74
060211a1.cha,toyplay,489,74
060211a1.cha,TD,489,74
060906b.cha,long,625,81
060906b.cha,toyplay,625,81
060906b.cha,TD,625,81
060906d.cha,long,559,81
060906d.cha,toyplay,559,81
060906d.cha,TD,559,81
060701b.cha,long,434,79
060701b.cha,toyplay,434,79
060701b.cha,TD,434,79
060002d.cha,long,442,72
060002d.cha,toyplay,442,72
060002d.cha,TD,442,72
060310a.cha,long,626,75
060310a.cha,toyplay,626,75
060310a.cha,TD,626,75
060701d.cha,long,445,79
060701d.cha,toyplay,445,79
060701d.cha,TD,445,79
060310d.cha,long,989,75
060310d.cha,toyplay,989,75
060310d.cha,TD,989,75
060310e.cha,long,352,75
060310e.cha,toyplay,352,75
060310e.cha,TD,352,75
16.cha,cross,693,74
16.cha,group,693,74
16.cha,TD,693,74
norwilli.cha,cross,206,73
norwilli.cha,toyplay,206,73
norwilli.cha,TD,206,73
70.cha,cross,168,77
70.cha,narrative,168,77
70.cha,TD,168,77
64.cha,cross,284,81
64.cha,narrative,284,81
64.cha,TD,284,81
59.cha,cross,521,77
59.cha,narrative,521,77
59.cha,TD,521,77
65.cha,cross,495,82
65.cha,narrative,495,82
65.cha,TD,495,82
71.cha,cross,151,74
71.cha,narrative,151,74
71.cha,TD,151,74
67.cha,cross,233,76
67.cha,narrative,233,76
67.cha,TD,233,76
72.cha,cross,463,77
72.cha,narrative,463,77
72.cha,TD,463,77
66.cha,cross,326,83
66.cha,narrative,326,83
66.cha,TD,326,83
62.cha,cross,218,83
62.cha,narrative,218,83
62.cha,TD,218,83
63.cha,cross,301,79
63.cha,narrative,301,79
63.cha,TD,301,79
49.cha,cross,170,78
49.cha,narrative,170,78
49.cha,TD,170,78
61.cha,cross,276,83
61.cha,narrative,276,83
61.cha,TD,276,83
60.cha,cross,290,72
60.cha,narrative,290,72
60.cha,TD,290,72
51.cha,cross,500,82
51.cha,narrative,500,82
51.cha,TD,500,82
50.cha,cross,279,83
50.cha,narrative,279,83
50.cha,TD,279,83
52.cha,cross,203,82
52.cha,narrative,203,82
52.cha,TD,203,82
53.cha,cross,151,83
53.cha,narrative,151,83
53.cha,TD,151,83
57.cha,cross,222,75
57.cha,narrative,222,75
57.cha,TD,222,75
56.cha,cross,701,75
56.cha,narrative,701,75
56.cha,TD,701,75
68.cha,cross,243,72
68.cha,narrative,243,72
68.cha,TD,243,72
54.cha,cross,396,81
54.cha,narrative,396,81
54.cha,TD,396,81
55.cha,cross,458,83
55.cha,narrative,458,83
55.cha,TD,458,83
69.cha,cross,889,75
69.cha,narrative,889,75
69.cha,TD,889,75
060417.cha,long,740,76
060417.cha,toyplay,740,76
060417.cha,TD,740,76
060503.cha,long,92,77
060503.cha,toyplay,92,77
060503.cha,TD,92,77
susan.cha,cross,436,73
susan.cha,toyplay,436,73
susan.cha,TD,436,73
