corpus,category_name,category_count,total
age_12_24_pp,pp,17024,583845
bnc_spoken_pp,pp,11440,634795
simple_wiki_pp,pp,25094,1061302
age_120_192_pp,pp,466,15792
age_36_48_pp,pp,25422,772316
age_60_72_pp,pp,4924,154902
age_96_108_pp,pp,1449,52228
age_108_120_pp,pp,1760,56786
age_72_84_pp,pp,1875,75965
switchboard_pp,pp,918,96809
TD_pp,pp,27542,1733674
age_24_36_pp,pp,66916,2034320
open_subtitles_pp,pp,88946,3372394
age_0_12_pp,pp,5873,170003
age_48_60_pp,pp,19356,618135
age_84_96_pp,pp,2563,89843
age_96_108_simple_categories,simple_categories,15576,52228
open_subtitles_simple_categories,simple_categories,414994,3372394
age_108_120_simple_categories,simple_categories,15252,56786
age_60_72_simple_categories,simple_categories,37862,154902
age_72_84_simple_categories,simple_categories,21470,75965
age_48_60_simple_categories,simple_categories,125696,618135
bnc_spoken_simple_categories,simple_categories,98627,634795
age_12_24_simple_categories,simple_categories,184446,583845
age_24_36_simple_categories,simple_categories,542251,2034320
TD_simple_categories,simple_categories,261600,1733674
simple_wiki_simple_categories,simple_categories,79283,1061302
age_120_192_simple_categories,simple_categories,2754,15792
age_0_12_simple_categories,simple_categories,43855,170003
age_84_96_simple_categories,simple_categories,24974,89843
switchboard_simple_categories,simple_categories,8533,96809
age_36_48_simple_categories,simple_categories,163772,772316
age_0_12_coord,coord,1056,170390
open_subtitles_coord,coord,9009,3372394
bnc_spoken_coord,coord,1943,634795
age_60_72_coord,coord,1494,154902
age_48_60_coord,coord,4522,618135
age_72_84_coord,coord,969,75965
TD_coord,coord,5633,1733674
age_108_120_coord,coord,757,56786
age_36_48_coord,coord,5567,772316
simple_wiki_coord,coord,129,1061302
age_84_96_coord,coord,1093,89843
switchboard_coord,coord,793,96809
age_24_36_coord,coord,11823,2034320
age_12_24_coord,coord,2417,583845
age_96_108_coord,coord,666,52228
age_120_192_coord,coord,186,15792
age_72_84_tense,tense,663,75965
age_48_60_tense,tense,6297,618135
age_36_48_tense,tense,10605,772316
age_108_120_tense,tense,562,56786
TD_tense,tense,9015,1733674
age_0_12_tense,tense,1846,170003
bnc_spoken_tense,tense,4355,634795
open_subtitles_tense,tense,41125,3372394
age_60_72_tense,tense,1531,154902
age_24_36_tense,tense,30060,2034320
switchboard_tense,tense,346,96809
age_84_96_tense,tense,829,89843
age_120_192_tense,tense,108,15792
age_96_108_tense,tense,549,52228
age_12_24_tense,tense,7390,583845
simple_wiki_tense,tense,13943,1061302
age_120_192_prt_to,prt_to,74,15792
age_0_12_prt_to,prt_to,1938,170003
TD_prt_to,prt_to,1806,1733674
bnc_spoken_prt_to,prt_to,2327,634795
age_36_48_prt_to,prt_to,6009,772316
age_108_120_prt_to,prt_to,260,56786
age_24_36_prt_to,prt_to,23246,2034320
age_84_96_prt_to,prt_to,417,89843
age_72_84_prt_to,prt_to,250,75965
age_60_72_prt_to,prt_to,787,154902
age_96_108_prt_to,prt_to,111,52228
open_subtitles_prt_to,prt_to,21858,3372394
switchboard_prt_to,prt_to,41,96809
age_48_60_prt_to,prt_to,4292,618135
simple_wiki_prt_to,prt_to,43,1061302
age_12_24_prt_to,prt_to,7081,583845
age_72_84_pos_adv_categories,pos_adv_categories,2318,75965
age_36_48_pos_adv_categories,pos_adv_categories,32953,772316
age_0_12_pos_adv_categories,pos_adv_categories,10021,170003
